"ListTitle","Title","InternalName","TypeAsString","Required","ReadOnlyField","Hidden","DefaultValue","Choices"
"Projetos","Identificador del originador","OriginatorId","Lookup","False","True","True",,""
"Projetos","NoExecute","NoExecute","Lookup","False","True","True",,""
"Projetos","Versión del contenido","ContentVersion","Lookup","False","True","True",,""
"Projetos","Configuración de la etiqueta","_ComplianceFlags","Lookup","False","True","False",,""
"Projetos","Etiqueta de retención","_ComplianceTag","Lookup","False","True","False",,""
"Projetos","Etiqueta de retención aplicada","_ComplianceTagWrittenTime","Lookup","False","True","False",,""
"Projetos","Usuario que ha aplicado la etiqueta:","_ComplianceTagUserId","Lookup","False","True","False",,""
"Projetos","El elemento es un registro","_IsRecord","Computed","False","True","False",,""
"Projetos","Directiva de acceso","AccessPolicy","Lookup","False","True","True",,""
"Projetos","VirusStatus","_VirusStatus","Lookup","False","True","True",,""
"Projetos","VirusVendorID","_VirusVendorID","Lookup","False","True","True",,""
"Projetos","VirusInfo","_VirusInfo","Lookup","False","True","True",,""
"Projetos","RansomwareAnomalyMetaInfo","_RansomwareAnomalyMetaInfo","Lookup","False","True","True",,""
"Projetos","Id. de propietario del borrador","_DraftOwnerId","Lookup","False","True","True",,""
"Projetos","Configuración del vínculo principal","MainLinkSettings","Computed","False","True","True",,""
"Projetos","Aplicación creada por","AppAuthor","Lookup","False","True","False",,""
"Projetos","Aplicación modificada por","AppEditor","Lookup","False","True","False",,""
"Projetos","Tamaño total","SMTotalSize","Lookup","False","True","True",,""
"Projetos","Última modificación","SMLastModifiedDate","Lookup","False","True","True",,""
"Projetos","Tamaño total de las secuencias de archivo","SMTotalFileStreamSize","Lookup","False","True","True",,""
"Projetos","Recuento total de archivos","SMTotalFileCount","Lookup","False","True","True",,""
"Projetos","Configuración de los comentarios","_CommentFlags","Lookup","False","True","True",,""
"Projetos","Recuento de comentarios","_CommentCount","Lookup","False","True","True",,""
